country_name,cases,deaths,region,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population,deaths_per_1m_population,total_tests,tests_per_1m_population
Maldives,"178,883",298,,"163,687",0,0,25,"14,898","320,737",534,"2,213,831","3,969,395"
Afghanistan,"178,689","7,682",,"161,748",1,39,"1,124","9,259","4,411",190,"940,341","23,212"
Uganda,"164,069","3,596",,"100,205",0,0,2,"60,268","3,394",74,"2,612,795","54,043"
El Salvador,"162,089","4,127",,"150,662",0,0,8,"7,300","24,764",631,"1,950,448","297,993"
Ghana,"161,124","1,445",,"159,655",0,0,1,24,"4,997",45,"2,433,244","75,465"
Namibia,"158,332","4,023",,"153,662",0,0,0,647,"60,341","1,533","1,001,354","381,621"
Martinique,"147,519",918,,104,0,0,8,"146,497","393,657","2,450","828,928","2,212,008"
Trinidad and Tobago,"144,359","3,812",,"133,604",0,0,18,"6,943","102,552","2,708","696,148","494,540"
Brunei,"141,014",218,,"139,724",0,0,2,"1,072","316,857",490,"717,784","1,612,853"
Guadeloupe,"140,130",854,,"2,250",0,0,19,"137,026","350,108","2,134","938,039","2,343,644"
Cambodia,"136,200","3,056",,"132,896",0,0,0,248,"7,948",178,"2,946,965","171,969"
Rwanda,"129,764","1,458",,"45,522",0,0,0,"82,784","9,590",108,"5,225,494","386,173"
Jamaica,"129,489","2,943",,"82,965",0,0,0,"43,581","43,387",986,"981,688","328,929"
Cameroon,"119,780","1,927",,"117,791",0,0,13,62,"4,318",69,"1,751,774","63,154"
Angola,"99,194","1,900",,"97,149",0,0,0,145,"2,858",55,"1,499,795","43,209"
Malta,"90,595",688,,"84,646",1,196,4,"5,261","204,196","1,551","1,872,465","4,220,438"
DRC,"87,023","1,337",,"50,930",0,0,0,"34,756",921,14,"846,704","8,962"
Senegal,"85,984","1,966",,"84,001",0,0,1,17,"4,902",112,"1,063,849","60,653"
Malawi,"85,747","2,633",,"81,938",0,0,67,"1,176","4,283",132,"571,585","28,548"
Ivory Coast,"81,887",799,,"81,061",0,0,0,27,"2,972",29,"1,494,624","54,238"
French Guiana,"80,422",394,,"11,254",0,0,1,"68,774","257,228","1,260","622,646","1,991,518"
Suriname,"79,302","1,327",,"49,396",0,0,0,"28,579","133,030","2,226","235,824","395,598"
Channel Islands,"73,609",166,,"72,059",0,0,0,"1,384","416,444",939,"1,252,808","7,087,782"
French Polynesia,"72,648",648,,N/A,0,0,7,N/A,"255,948","2,283",0,0
Eswatini,"70,284","1,397",,"68,764",0,0,11,123,"59,470","1,182","1,012,397","856,623"
Barbados,"67,256",389,,"63,424",0,0,0,"3,443","233,520","1,351","640,085","2,222,440"
Fiji,"64,524",862,,"62,677",0,0,0,985,"71,048",949,"506,642","557,871"
Madagascar,"64,121","1,391",,"59,370",0,0,14,"3,360","2,213",48,"418,849","14,455"
Guyana,"63,413","1,228",,"62,092",0,0,1,93,"79,925","1,548","590,638","744,436"
Sudan,"62,093","4,930",,N/A,0,0,0,N/A,"1,359",108,"562,941","12,319"
New Caledonia,"60,457",312,,"60,064",0,0,9,81,"208,148","1,074","98,964","340,724"
Mauritania,"58,683",982,,"57,693",0,0,0,8,"12,050",202,"799,187","164,099"
Bhutan,"57,771",20,,"53,080",0,431,3,"4,671","73,412",25,"2,284,301","2,902,749"
Belize,"57,419",676,,"56,534",0,0,6,209,"139,823","1,646","534,770","1,302,237"
Taiwan,"56,468",856,,"23,729",0,"5,172",0,"31,883","2,363",36,"14,289,370","598,017"
Cabo Verde,"56,004",401,,"55,538",0,0,23,65,"98,792",707,"400,982","707,340"
Syria,"55,795","3,150",,"52,090",0,0,0,555,"3,054",172,"146,269","8,007"
Gabon,"47,597",303,,"47,282",0,0,0,12,"20,512",131,"1,592,483","686,270"
Papua New Guinea,"43,732",649,,"43,025",0,0,7,58,"4,726",70,"249,149","26,927"
Seychelles,"42,079",165,,"41,260",0,0,0,654,"423,134","1,659",0,0
Curaçao,"41,966",273,,"41,251",0,0,3,442,"253,872","1,652","496,693","3,004,725"
Andorra,"41,013",153,,"40,343",0,0,14,517,"529,282","1,974","249,838","3,224,215"
Burundi,"38,887",38,,773,0,0,0,"38,076","3,104",3,"345,742","27,594"
Mauritius,"37,656",990,,"35,656",0,0,0,"1,010","29,521",776,"358,675","281,186"
Mayotte,"37,038",187,,"2,964",0,0,0,"33,887","130,099",657,"176,919","621,442"
Togo,"36,977",273,,"36,679",0,0,0,25,"4,285",32,"727,740","84,338"
Guinea,"36,459",440,,"35,976",0,0,8,43,"2,647",32,"660,107","47,919"
Faeroe Islands,"34,658",28,,"7,693",0,0,5,"26,937","704,460",569,"778,000","15,813,651"
Aruba,"34,589",212,,"34,251",0,0,2,126,"321,507","1,971","177,885","1,653,452"
Tanzania,"33,864",803,,N/A,0,0,7,N/A,539,13,0,0
Bahamas,"33,463",789,,"32,310",0,0,11,364,"83,652","1,972","229,817","574,504"
Lesotho,"32,910",697,,"24,155",0,0,0,"8,058","15,146",321,"431,221","198,454"
Mali,"30,727",731,,"29,795",0,0,0,201,"1,442",34,"663,805","31,160"
Haiti,"30,640",835,,"29,389",0,0,0,416,"2,629",72,"132,422","11,363"
Isle of Man,"28,416",87,,"26,794",0,0,0,"1,535","331,015","1,013","150,753","1,756,107"
Benin,"26,952",163,,"25,506",0,0,5,"1,283","2,123",13,"604,310","47,598"
Somalia,"26,485","1,350",,"13,182",0,0,0,"11,953","1,587",81,"400,466","23,990"
Congo,"24,079",385,,"20,178",0,0,0,"3,516","4,178",67,"347,815","60,352"
Saint Lucia,"23,239",368,,"22,736",0,0,1,135,"125,520","1,988","142,630","770,382"
Timor-Leste,"22,860",130,,"22,714",0,0,0,16,"16,762",95,"261,007","191,388"
Cayman Islands,"21,755",26,,"8,553",0,0,1,"13,176","324,145",387,"222,773","3,319,273"
Burkina Faso,"20,853",382,,"20,439",0,0,0,32,951,17,"248,995","11,350"
Nicaragua,"18,491",225,,"4,225",0,0,0,"14,041","2,733",33,0,0
Gibraltar,"17,706",102,,"16,579",0,0,0,"1,025","525,822","3,029","534,283","15,866,807"
South Sudan,"17,422",138,,"13,514",0,0,1,"3,770","1,524",12,"376,391","32,928"
Tajikistan,"17,388",124,,"17,264",0,0,0,0,"1,752",12,0,0
Liechtenstein,"17,103",85,,"16,831",1,12,0,187,"446,251","2,218","102,174","2,665,919"
San Marino,"16,140",114,,"15,662",0,0,4,364,"473,870","3,347","149,271","4,382,590"
Equatorial Guinea,"15,907",183,,"15,698",0,0,5,26,"10,704",123,"310,972","209,251"
Djibouti,"15,611",189,,"15,411",0,0,0,11,"15,396",186,"303,924","299,748"
CAR,"14,649",113,,"6,859",0,0,2,"7,677","2,941",23,"81,294","16,320"
Grenada,"14,428",220,,"13,945",0,0,4,263,"127,159","1,939","148,567","1,309,376"
Bermuda,"13,143",131,,"12,719",0,0,0,293,"212,453","2,118","866,313","14,003,734"
Solomon Islands,"12,437",139,,"11,194",0,0,2,"1,104","17,339",194,"5,117","7,134"
Dominica,"12,011",63,,"11,926",0,0,0,22,"166,107",871,"187,690","2,595,666"
Gambia,"11,995",365,,"11,591",0,0,0,39,"4,724",144,"155,686","61,314"
Greenland,"11,971",21,,"2,761",0,0,4,"9,189","210,209",369,"164,926","2,896,081"
Yemen,"11,818","2,148",,"9,001",0,0,23,669,381,69,"265,253","8,553"
Monaco,"11,604",54,,"11,362",0,0,4,188,"291,969","1,359","54,960","1,382,850"
Saint Martin,"10,279",63,,"1,399",0,0,7,"8,817","257,903","1,581","112,382","2,819,701"
Sint Maarten,"9,990",86,,"9,841",0,0,10,63,"228,317","1,965","62,056","1,418,261"
Eritrea,"9,733",103,,"9,629",0,0,0,1,"2,678",28,"23,693","6,518"
Caribbean Netherlands,"9,592",34,,"9,392",0,0,0,166,"359,749","1,275","30,126","1,129,880"
Tonga,"9,553",11,,"8,306",0,0,0,"1,236","88,571",102,"408,213","3,784,761"
Niger,"8,914",309,,"8,507",0,0,1,98,346,12,"249,026","9,657"
Guinea-Bissau,"8,185",171,,"7,515",0,0,6,499,"3,989",83,"132,611","64,628"
Comoros,"8,100",160,,"7,933",0,0,0,7,"8,970",177,0,0
Sierra Leone,"7,681",125,,N/A,0,0,0,N/A,929,15,"259,958","31,435"
Antigua and Barbuda,"7,571",135,,"7,402",0,0,1,34,"76,172","1,358","18,901","190,164"
Liberia,"7,432",294,,"5,747",0,0,2,"1,391","1,410",56,"139,824","26,521"
Chad,"7,396",193,,"4,874",0,0,0,"2,329",428,11,"191,341","11,075"
Samoa,"7,185",13,,"1,605",0,0,3,"5,567","35,783",65,"53,893","268,399"
Vanuatu,"6,793",12,,"5,991",0,0,5,790,"21,222",37,"24,976","78,027"
St. Vincent Grenadines,"6,779",106,,"6,641",0,0,0,32,"60,757",950,"98,860","886,033"
British Virgin Islands,"6,296",62,,N/A,0,0,1,N/A,"205,792","2,027","102,862","3,362,163"
Sao Tome and Principe,"5,953",73,,"5,875",0,0,0,5,"26,282",322,"29,036","128,193"
Turks and Caicos,"5,941",36,,"5,862",0,0,4,43,"149,791",908,"478,593","12,066,789"
Saint Kitts and Nevis,"5,561",43,,"5,517",0,0,0,1,"103,215",798,"65,141","1,209,046"
Cook Islands,"4,727",0,,"3,990",0,0,0,737,"268,686",0,"15,740","894,674"
St. Barth,"4,432",6,,N/A,0,0,0,N/A,"446,279",604,"78,646","7,919,243"
Palau,"4,396",6,,"3,879",0,0,1,511,"240,877",329,"45,500","2,493,151"
Kiribati,"3,076",13,,"2,597",0,0,3,466,"25,058",106,0,0
Anguilla,"2,731",9,,"2,716",0,0,4,6,"179,141",590,"51,382","3,370,417"
Saint Pierre Miquelon,"2,641",1,,"2,449",0,0,1,191,"459,864",174,"22,941","3,994,602"
Diamond Princess,712,13,,699,0,0,0,0,0,0,0,0
Wallis and Futuna,454,7,,438,0,0,0,9,"41,713",643,"20,508","1,884,234"
Montserrat,183,2,,174,0,0,0,7,"36,622",400,"9,700","1,941,165"
Falkland Islands,128,0,,N/A,0,0,0,N/A,"34,944",0,"8,632","2,356,538"
Macao,82,0,,82,0,0,0,0,123,0,"5,375","8,079"
Vatican City,29,0,,29,0,0,0,0,"36,025",0,0,0
Marshall Islands,15,0,,7,0,0,0,8,250,0,0,0
Western Sahara,10,1,,9,0,0,0,0,16,2,0,0
MS Zaandam,9,2,,7,0,0,0,0,0,0,0,0
Niue,8,0,,7,0,0,0,1,"4,860",0,0,0
Nauru,3,0,,3,0,0,0,0,274,0,0,0
Saint Helena,2,0,,2,0,0,0,0,327,0,0,0
Micronesia,1,0,,1,0,0,0,0,9,0,0,0
